Distance,Height,Angle,PathLoss,
432.02,1.88,0,99.5,67.0914700524
432.01,1.88,0,99.541,67.1093144933
432,1.88,0,NaN,67.1271543889
431.98,1.88,0,99.499,67.1628205301
431.97,1.88,0,99.472,67.1806467685
431.96,1.88,0,NaN,67.1984684475
431.94,1.88,0,99.559,67.2340981133
431.93,1.88,0,99.557,67.251906093
431.91,1.88,0,NaN,67.2875083286
431.9,1.88,0,99.539,67.3053025775
431.88,1.88,0,NaN,67.3408773202
431.87,1.88,0,NaN,67.3586578069
431.85,1.88,0,99.609,67.394204994
431.84,1.88,0,99.596,67.4119716873
431.82,1.88,0,NaN,67.4474912565
431.81,1.88,0,99.695,67.4652441253
431.79,1.88,0,99.631,67.5007360144
431.78,1.88,0,NaN,67.5184750278
431.76,1.88,0,99.652,67.553939175
431.74,1.88,0,99.596,67.5893847933
431.73,1.88,0,99.541,67.6071006457
431.71,1.88,0,99.506,67.6425184195
431.7,1.88,0,NaN,67.6602203343
431.68,1.88,0,NaN,67.6956102025
431.65,1.88,0,NaN,67.7486600507
431.61,1.88,0,NaN,67.8193277924
431.59,1.88,0,99.592,67.8546335787
431.58,1.88,0,NaN,67.872279439
431.56,1.88,0,99.568,67.9075570772
431.54,1.88,0,99.49,67.9428159167
431.52,1.88,0,99.494,67.9780559308
431.5,1.88,0,99.532,68.013277093
431.49,1.88,0,NaN,68.0308805965
431.47,1.88,0,99.575,68.0660734314
431.45,1.88,0,NaN,68.1012473484
431.43,1.88,0,99.539,68.1364023214
431.41,1.88,0,99.478,68.1715383241
431.39,1.88,0,99.479,68.2066553303
431.37,1.88,0,99.541,68.2417533141
431.35,1.88,0,NaN,68.2768322495
431.33,1.88,0,99.627,68.3118921105
431.31,1.88,0,99.602,68.3469328713
431.29,1.88,0,NaN,68.3819545063
431.25,1.88,0,NaN,68.4519402957
431.23,1.88,0,99.646,68.4869043991
431.21,1.88,0,99.579,68.5218492743
431.19,1.88,0,99.568,68.5567748958
431.17,1.88,0,NaN,68.5916812385
431.15,1.88,0,99.57,68.626568277
431.13,1.88,0,NaN,68.6614359861
431.1,1.88,0,99.686,68.7137012525
431.08,1.88,0,NaN,68.7485205287
431.04,1.88,0,NaN,68.8181008057
431.02,1.88,0,NaN,68.8528617569
430.99,1.88,0,99.628,68.9049666302
430.97,1.88,0,99.559,68.9396788074
430.95,1.88,0,NaN,68.974371432
430.92,1.88,0,99.547,69.0263736546
430.9,1.88,0,99.564,69.0610172911
430.88,1.88,0,99.568,69.0956412898
430.86,1.88,0,99.636,69.1302456266
430.83,1.88,0,NaN,69.182115213
430.81,1.88,0,NaN,69.2166702896
430.78,1.88,0,99.608,69.2684658734
430.76,1.88,0,NaN,69.3029715404
430.73,1.88,0,99.626,69.3546928983
430.71,1.88,0,99.565,69.3891490073
430.69,1.88,0,NaN,69.4235852518
430.64,1.88,0,99.586,69.509588802
430.61,1.88,0,NaN,69.5611311164
430.58,1.88,0,99.508,69.6126284733
430.56,1.88,0,99.533,69.6469350297
430.53,1.88,0,NaN,69.6983572843
430.51,1.88,0,99.673,69.7326137008
430.48,1.88,0,99.658,69.7839606384
430.46,1.88,0,NaN,69.8181667724
430.43,1.88,0,99.589,69.8694381801
430.4,1.88,0,NaN,69.9206641682
430.38,1.88,0,99.547,69.9547895565
430.35,1.88,0,99.582,70.0059396774
430.32,1.88,0,NaN,70.0570441778
430.29,1.88,0,NaN,70.1081029829
430.24,1.88,0,NaN,70.193099245
430.21,1.88,0,99.606,70.244035834
430.18,1.88,0,99.554,70.2949264571
430.16,1.88,0,99.611,70.3288279666
430.13,1.88,0,NaN,70.379641818
430.1,1.88,0,NaN,70.43040951
430.07,1.88,0,99.662,70.4811309705
430.04,1.88,0,99.653,70.531806128
430.01,1.88,0,99.574,70.5824349112
429.99,1.88,0,NaN,70.616161635
429.96,1.88,0,NaN,70.6667129708
429.93,1.88,0,99.59,70.7172177443
429.9,1.88,0,99.594,70.7676758858
429.87,1.88,0,NaN,70.8180873259
429.84,1.88,0,NaN,70.8684519955
429.81,1.88,0,99.632,70.9187698259
429.78,1.88,0,99.683,70.9690407487
429.75,1.88,0,NaN,71.0192646961
429.72,1.88,0,99.642,71.0694416005
429.69,1.88,0,NaN,71.1195713948
429.66,1.88,0,99.626,71.169654012
429.63,1.88,0,99.662,71.2196893858
429.6,1.88,0,NaN,71.26967745
429.57,1.88,0,99.556,71.3196181391
429.54,1.88,0,99.627,71.3695113877
429.51,1.88,0,99.581,71.4193571308
429.47,1.88,0,99.559,71.4857441128
429.44,1.88,0,NaN,71.5354787595
429.41,1.88,0,99.649,71.585165687
429.38,1.88,0,NaN,71.634804832
429.35,1.88,0,99.67,71.6843961316
429.32,1.88,0,NaN,71.7339395231
429.28,1.88,0,NaN,71.7999227475
429.25,1.88,0,99.69,71.8493541124
429.22,1.88,0,99.694,71.8987373635
429.19,1.88,0,NaN,71.9480724398
429.16,1.88,0,99.688,71.9973592806
429.12,1.88,0,99.66,72.0629999316
429.09,1.88,0,99.682,72.1121739897
429.06,1.88,0,99.682,72.1612996132
429.03,1.88,0,99.685,72.2103767432
428.99,1.88,0,99.673,72.2757373808
428.96,1.88,0,99.688,72.3247011318
428.93,1.88,0,99.708,72.3736161955
428.9,1.88,0,99.689,72.4224825143
428.86,1.88,0,NaN,72.4875616826
428.83,1.88,0,99.719,72.5363140428
428.79,1.88,0,99.65,72.6012410617
428.76,1.88,0,NaN,72.6498791577
428.73,1.88,0,99.69,72.6984681909
428.69,1.88,0,99.722,72.7631771541
428.66,1.88,0,99.677,72.811651495
428.62,1.88,0,99.657,72.8762073381
428.59,1.88,0,NaN,72.9245666926
428.55,1.88,0,NaN,72.9889690268
428.52,1.88,0,99.577,73.0372131055
428.48,1.88,0,99.577,73.1014615481
428.45,1.88,0,99.613,73.1495900663
428.41,1.88,0,NaN,73.213684241
428.38,1.88,0,99.613,73.2616969187
428.34,1.88,0,NaN,73.3256364551
428.27,1.88,0,99.61,73.4373175514
428.23,1.88,0,NaN,73.501013352
428.16,1.88,0,NaN,73.6122671404
428.12,1.88,0,99.59,73.6757183305
428.08,1.88,0,99.613,73.7390803591
428.05,1.88,0,NaN,73.7865433014
428.01,1.88,0,NaN,73.8497490303
427.97,1.88,0,99.576,73.9128652944
427.93,1.88,0,99.57,73.9758919855
427.9,1.88,0,99.596,74.0231031571
427.86,1.88,0,99.558,74.0859728386
