432.96,76.789
432.96,NaN
432.96,76.761
432.96,76.691
432.96,NaN
432.96,NaN
432.96,76.502
432.96,NaN
432.96,76.488
432.96,76.516
432.96,NaN
432.95,76.539
432.95,NaN
432.95,76.722
432.95,76.709
432.95,76.694
432.95,76.698
432.95,NaN
432.95,76.694
432.95,76.63
432.94,76.491
432.94,76.529
432.94,76.461
432.94,NaN
432.94,76.5
432.94,76.456
432.94,NaN
432.93,NaN
432.93,76.652
432.93,76.646
432.93,76.699
432.93,76.561
432.92,76.575
432.92,NaN
432.92,76.505
432.92,NaN
432.92,76.579
432.91,76.699
432.91,76.737
432.91,NaN
432.91,76.736
432.9,76.598
432.9,NaN
432.9,76.482
432.89,76.507
432.89,76.55
432.89,76.531
432.89,76.638
432.88,NaN
432.88,NaN
432.88,76.71
432.87,76.747
432.87,NaN
432.87,76.738
432.86,NaN
432.86,76.697
432.85,76.681
432.85,NaN
432.85,76.656
432.84,76.673
432.84,76.578
432.83,76.601
432.83,76.629
432.83,NaN
432.82,76.524
432.81,76.63
432.81,76.525
432.8,76.614
432.8,76.615
432.79,76.673
432.79,76.643
432.78,76.592
432.78,76.634
432.77,76.665
432.77,76.639
432.76,76.605
432.76,NaN
432.75,76.692
432.75,76.613
432.74,76.625
432.74,76.529
432.73,76.516
432.73,76.567
432.72,76.512
432.71,76.513
432.71,76.502
432.7,76.542
432.7,76.617
432.69,76.58
432.68,76.631
432.68,76.587
432.67,76.527
432.67,76.57
432.66,76.568
432.65,NaN
432.64,76.554
432.63,NaN
432.63,76.676
432.62,76.588
432.61,76.558
432.61,76.569
432.6,NaN
432.58,76.573
432.57,76.606
432.56,76.577
432.56,76.607
432.55,76.59
432.54,76.593
432.53,NaN
432.53,NaN
432.51,NaN
432.5,NaN
432.49,NaN
432.48,76.608
432.47,NaN
432.46,NaN
432.45,76.656
432.45,76.574
432.44,76.654
432.43,NaN
432.42,76.559
432.41,NaN
432.39,76.494
432.38,76.513
432.37,NaN
432.36,76.502
432.35,NaN
432.33,NaN
432.31,76.665
432.3,76.596
432.29,NaN
432.28,76.638
432.27,NaN
432.26,NaN
432.25,76.651
432.24,76.566
432.23,NaN
432.22,NaN
432.21,76.559
432.2,76.542
432.19,NaN
432.17,76.485
432.16,NaN
432.15,NaN
432.14,NaN
432.11,NaN
432.1,76.54
432.09,NaN
432.08,NaN
432.06,76.504
432.05,NaN
432.02,76.5
432.01,76.541
432,NaN
431.98,76.499
431.97,76.472
431.96,NaN
431.94,76.559
431.93,76.557
431.91,NaN
431.9,76.539
431.88,NaN
431.87,NaN
431.85,76.609
431.84,76.596
431.82,NaN
431.81,76.695
431.79,76.631
431.78,NaN
431.76,76.652
431.74,76.596
431.73,76.541
431.71,76.506
431.7,NaN
431.68,NaN
431.65,NaN
431.61,NaN
431.59,76.592
431.58,NaN
431.56,76.568
431.54,76.49
431.52,76.494
431.5,76.532
431.49,NaN
431.47,76.575
431.45,NaN
431.43,76.539
431.41,76.478
431.39,76.479
431.37,76.541
431.35,NaN
431.33,76.627
431.31,76.602
431.29,NaN
431.25,NaN
431.23,76.646
431.21,76.579
431.19,76.568
431.17,NaN
431.15,76.57
431.13,NaN
431.1,76.686
431.08,NaN
431.04,NaN
431.02,NaN
430.99,76.628
430.97,76.559
430.95,NaN
430.92,76.547
430.9,76.564
430.88,76.568
430.86,76.636
430.83,NaN
430.81,NaN
430.78,76.608
430.76,NaN
430.73,76.626
430.71,76.565
430.69,NaN
430.64,76.586
430.61,NaN
430.58,76.508
430.56,76.533
430.53,NaN
430.51,76.673
430.48,76.658
430.46,NaN
430.43,76.589
430.4,NaN
430.38,76.547
430.35,76.582
430.32,NaN
430.29,NaN
430.24,NaN
430.21,76.606
430.18,76.554
430.16,76.611
430.13,NaN
430.1,NaN
430.07,76.662
430.04,76.653
430.01,76.574
429.99,NaN
429.96,NaN
429.93,76.59
429.9,76.594
429.87,NaN
429.84,NaN
429.81,76.632
429.78,76.683
429.75,NaN
429.72,76.642
429.69,NaN
429.66,76.626
429.63,76.662
429.6,NaN
429.57,76.556
429.54,76.627
429.51,76.581
429.47,76.559
429.44,NaN
429.41,76.649
429.38,NaN
429.35,76.67
429.32,NaN
429.28,NaN
429.25,76.69
429.22,76.694
429.19,NaN
429.16,76.688
429.12,76.66
429.09,76.682
429.06,76.682
429.03,76.685
428.99,76.673
428.96,76.688
428.93,76.708
428.9,76.689
428.86,NaN
428.83,76.719
428.79,76.65
428.76,NaN
428.73,76.69
428.69,76.722
428.66,76.677
428.62,76.657
428.59,NaN
428.55,NaN
428.52,76.577
428.48,76.577
428.45,76.613
428.41,NaN
428.38,76.613
428.34,NaN
428.27,76.61
