188.64,218.3,89.039,0,85.301
188.56,218.3,89.039,5.6239e-06,85.09
188.49,218.3,89.039,1.2309e-05,92.843
188.41,218.29,89.039,3.8682e-05,85.069
188.33,218.29,89.039,4.9544e-05,85.181
188.26,218.29,89.039,6.1442e-05,85.342
188.18,218.28,89.039,7.4324e-05,85.689
188.1,218.28,89.039,8.8259e-05,85.617
188.02,218.28,89.039,0.00010324,85.553
187.94,218.27,89.039,0.00011933,85.094
187.86,218.27,89.039,0.00013641,84.701
187.78,218.26,89.039,0.00015455,84.151
187.69,218.26,89.039,0.00017366,NaN
187.61,218.26,89.039,0.0001945,83.509
187.53,218.25,89.039,0.00021543,83.548
187.44,218.25,89.039,0.00023716,83.806
187.36,218.24,89.039,0.00025975,84.122
187.28,218.24,89.039,0.00028319,84.806
187.19,218.23,89.039,0.00030752,85.73
187.11,218.22,89.039,0.00033263,86.829
187.02,218.22,89.039,0.00035859,87.76
186.93,218.21,89.039,0.00038531,88.232
186.84,218.21,89.039,0.00041281,88.044
186.76,218.2,89.039,0.00044106,87.681
186.67,218.19,89.039,0.00047005,87.522
186.58,218.19,89.039,0.00049968,87.532
186.5,218.18,89.039,0.00053003,87.933
186.41,218.17,89.039,0.00056107,88.728
186.31,218.16,89.039,0.00059272,89.543
186.23,218.16,89.039,0.00062494,NaN
186.13,218.03,89.038,0.0011839,91.283
185.95,218.02,89.038,0.0012299,NaN
185.86,217.1,89.034,0.0053136,90.957
185.76,217.08,89.034,0.0054045,89.624
185.67,217.06,89.034,0.0054958,88.207
185.57,217.04,89.034,0.0055905,86.742
185.48,217.02,89.034,0.0056856,85.236
185.39,216.99,89.034,0.0057813,84.42
185.29,216.97,89.033,0.0058804,83.926
185.2,216.95,89.033,0.0059799,83.755
185.11,216.93,89.033,0.0060798,NaN
185.01,216.9,89.033,0.0061866,83.724
184.82,216.88,89.033,0.0062907,84.496
184.73,216.86,89.033,0.0063962,85.815
184.63,216.83,89.033,0.0065033,NaN
184.54,216.65,89.032,0.0072966,88.409
184.44,216.63,89.032,0.007416,86.292
184.34,216.6,89.032,0.0075369,87.694
184.25,216.57,89.032,0.0076593,86.692
184.15,216.55,89.032,0.0077832,86.59
184.05,216.52,89.031,0.0079085,89.285
183.96,216.49,89.031,0.0080353,NaN
183.86,216.31,89.031,0.0088326,NaN
183.76,216.19,89.03,0.0093959,85.729
183.66,216.15,89.03,0.0095387,85.14
183.56,216.12,89.03,0.0096831,NaN
183.46,216.09,89.03,0.0098351,83.352
183.36,216.05,89.029,0.0099823,83.22
183.26,216.02,89.029,0.010131,83.172
183.16,215.99,89.029,0.010281,84.334
183.06,215.95,89.029,0.010432,84.274
182.96,215.92,89.029,0.010585,87.568
182.86,215.89,89.029,0.010739,NaN
182.46,215.67,89.028,0.011698,NaN
182.36,212.94,89.015,0.024161,84.206
182.26,212.89,89.015,0.024416,90.274
182.16,212.66,89.014,0.025456,87.342
182.05,212.61,89.014,0.02572,86.117
181.95,212.55,89.013,0.025987,91.49
181.85,211.52,89.009,0.030788,NaN
181.75,209.82,89.001,0.038816,NaN
181.64,204.59,88.975,0.064392,85.116
181.54,204.5,88.975,0.064834,89.373
181.44,204.23,88.973,0.066169,87.717
181.34,204.14,88.973,0.066618,91.81
181.23,203.97,88.972,0.067521,85.898
181.13,203.88,88.971,0.067975,NaN
181.02,203.69,88.97,0.068908,86.987
180.92,203.6,88.97,0.069368,NaN
180.81,201.82,88.961,0.078453,85.567
180.71,201.72,88.96,0.07895,91.537
180.6,201.63,88.96,0.079448,88.006
180.49,201.53,88.959,0.079949,89.516
180.39,201.33,88.958,0.080955,86.338
180.28,201.24,88.958,0.08146,89.802
180.18,201.14,88.957,0.081968,86.284
180.07,201.04,88.957,0.082478,83.019
179.97,200.94,88.956,0.082989,NaN
179.86,200.74,88.955,0.084016,NaN
179.75,200.54,88.954,0.085066,87.88
179.65,200.44,88.954,0.085592,89.504
179.54,200.24,88.953,0.086632,85.313
179.43,200.14,88.952,0.087162,89.916
178.99,199.94,88.951,0.088212,NaN
178.87,199.74,88.95,0.089297,84.465
178.76,199.63,88.95,0.089831,NaN
178.65,199.43,88.948,0.090927,86.219
178.54,199.32,88.948,0.091467,89.056
